nombre_feria,comuna,region,latitud,longitud,direccion,calle_principal,calle_inicio,calle_termino,dias,horario,num_puestos,fuente,archivo_origen,fecha_datos
Feria Mujeres Emprendedoras,Antofagasta,Antofagasta,-23.5725807441,-70.3800606996,Avenida Bonilla entre Vladimir Saavedra Norte entre Vladimir Saavedra Sur,Avenida Bonilla,Vladimir Saavedra Norte,Vladimir Saavedra Sur,"Viernes, Sábado, Domingo y Festivos",07:00 a 15:00 Hrs,79.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Mujeres Emprendedoras,Antofagasta,Antofagasta,-23.5725807441,-70.3800606996,Avenida Bonilla entre Vladimir Saavedra Norte entre Vladimir Saavedra Sur,Avenida Bonilla,Vladimir Saavedra Norte,Vladimir Saavedra Sur,"Viernes, Sábado, Domingo y Festivos",07:00 a 15:00 Hrs,79.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Mujeres Emprendedoras,Antofagasta,Antofagasta,-23.5725807441,-70.3800606996,Avenida Bonilla entre Vladimir Saavedra Norte entre Vladimir Saavedra Sur,Avenida Bonilla,Vladimir Saavedra Norte,Vladimir Saavedra Sur,"Viernes, Sábado, Domingo y Festivos",07:00 a 15:00 Hrs,79.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Mujeres Emprendedoras,Antofagasta,Antofagasta,-23.5725807441,-70.3800606996,Avenida Bonilla entre Vladimir Saavedra Norte entre Vladimir Saavedra Sur,Avenida Bonilla,Vladimir Saavedra Norte,Vladimir Saavedra Sur,"Viernes, Sábado, Domingo y Festivos",07:00 a 15:00 Hrs,79.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Mujeres Emprendedoras,Antofagasta,Antofagasta,-23.5725807441,-70.3800606996,Avenida Bonilla entre Vladimir Saavedra Norte entre Vladimir Saavedra Sur,Avenida Bonilla,Vladimir Saavedra Norte,Vladimir Saavedra Sur,"Viernes, Sábado, Domingo y Festivos",07:00 a 15:00 Hrs,79.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Pantaleón Cortés,Antofagasta,Antofagasta,-23.6013411558,-70.3795892696,Pantaleón Cortés entre Bandera entre Los Leones,Pantaleón Cortés,Bandera,Los Leones,Todos los días,08:00 a 16:00 Hrs,670.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Pantaleón Cortés,Antofagasta,Antofagasta,-23.6013411558,-70.3795892696,Pantaleón Cortés entre Bandera entre Los Leones,Pantaleón Cortés,Bandera,Los Leones,Todos los días,08:00 a 16:00 Hrs,670.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Pantaleón Cortés,Antofagasta,Antofagasta,-23.6013411558,-70.3795892696,Pantaleón Cortés entre Bandera entre Los Leones,Pantaleón Cortés,Bandera,Los Leones,Todos los días,08:00 a 16:00 Hrs,670.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Pantaleón Cortés,Antofagasta,Antofagasta,-23.6013411558,-70.3795892696,Pantaleón Cortés entre Bandera entre Los Leones,Pantaleón Cortés,Bandera,Los Leones,Todos los días,08:00 a 16:00 Hrs,670.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Pantaleón Cortés,Antofagasta,Antofagasta,-23.6013411558,-70.3795892696,Pantaleón Cortés entre Bandera entre Los Leones,Pantaleón Cortés,Bandera,Los Leones,Todos los días,08:00 a 16:00 Hrs,670.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Pantaleón Cortés,Antofagasta,Antofagasta,-23.6013411558,-70.3795892696,Pantaleón Cortés entre Bandera entre Los Leones,Pantaleón Cortés,Bandera,Los Leones,Todos los días,08:00 a 16:00 Hrs,670.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Pantaleón Cortés,Antofagasta,Antofagasta,-23.6013411558,-70.3795892696,Pantaleón Cortés entre Bandera entre Los Leones,Pantaleón Cortés,Bandera,Los Leones,Todos los días,08:00 a 16:00 Hrs,670.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Libre Ex Pulgas (Arauco),Calama,Antofagasta,-22.4614545273,-68.9447322361,Arauco entre Sotomayor entre Carlos Cistérnas,Arauco,Sotomayor,Carlos Cistérnas,Lunes,10:00 a 16:00 Hrs,500.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Libre Ex Pulgas (Bolivia),Calama,Antofagasta,-22.4402804619,-68.9299954657,Bolivia entre Ejercito entre Avenida Grecia,Bolivia,Ejercito,Avenida Grecia,Martes,10:00 a 16:00 Hrs,500.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Libre Ex Pulgas (Brasilia),Calama,Antofagasta,-22.4598643101,-68.9349056292,Brasilia entre Sotomayor entre José María Caro,Brasilia,Sotomayor,José María Caro,Sábado,10:00 a 16:00 Hrs,500.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Libre Ex Pulgas (Hamburgo),Calama,Antofagasta,-22.4481069712,-68.9367481215,Hamburgo entre Hernán Cortés entre Diego de Almagro,Hamburgo,Hernán Cortés,Diego de Almagro,Miércoles,10:00 a 16:00 Hrs,500.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Libre Ex Pulgas (Pedro de Valdivia),Calama,Antofagasta,-22.4592536264,-68.9400715176,Pedro de Valdivia entre Carlos Cistérnas - Tocopilla entre Quetena - Juan António Ríos - Arauco,Pedro de Valdivia,Carlos Cistérnas - Tocopilla,Quetena - Juan António Ríos - Arauco,Domingo,10:00 a 16:00 Hrs,500.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Rotativa (Arauco),Calama,Antofagasta,-22.4581175848,-68.9449461848,Arauco entre Carlos Cisternas entre Hurtado Mendóza,Arauco,Carlos Cisternas,Hurtado Mendóza,Lunes,08:00 a 16:00 Hrs,238.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Rotativa (Avenida Grecia),Calama,Antofagasta,-22.4771421374,-68.9300085634,Avenida Grecia entre Turi entre Quemazón,Avenida Grecia,Turi,Quemazón,Domingo,08:00 a 16:00 Hrs,238.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Rotativa (Brasilia),Calama,Antofagasta,-22.4650898388,-68.9353627654,Brasilia entre Paula Jara Quemada entre Sotomayor,Brasilia,Paula Jara Quemada,Sotomayor,Sábado,08:00 a 16:00 Hrs,238.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Rotativa (Ejercito),Calama,Antofagasta,-22.44120575,-68.9290008659,Ejercito entre Independencia entre Alejándro Rodríguez,Ejercito,Independencia,Alejándro Rodríguez,Martes,08:00 a 16:00 Hrs,238.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Rotativa (Gabriela Mistral),Calama,Antofagasta,-22.4737362843,-68.9265530741,Gabriela Mistral entre Turi entre Esmeralda,Gabriela Mistral,Turi,Esmeralda,Jueves,08:00 a 16:00 Hrs,238.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Rotativa (Hamburgo),Calama,Antofagasta,-22.4512849396,-68.9373890935,Hamburgo entre Maipú entre Hernán Cortés,Hamburgo,Maipú,Hernán Cortés,Miércoles,08:00 a 16:00 Hrs,238.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Rotativa (Lord Cochrane),Calama,Antofagasta,-22.443589672,-68.9220959216,Lord Cochrane entre Ernesto Riquelme entre Mateo Toro Zambrano,Lord Cochrane,Ernesto Riquelme,Mateo Toro Zambrano,Viernes,08:00 a 16:00 Hrs,238.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Rotativa (Nueva Poniente),Calama,Antofagasta,-22.4506215008,-68.9182394092,Nueva Poniente entre Nueva Norte entre 7 Norte,Nueva Poniente,Nueva Norte,7 Norte,Jueves,08:00 a 16:00 Hrs,238.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Las Pulgas,María Elena,Antofagasta,-22.3450482925,-69.6633060094,Ignacio Carrera Pinto entre Ignacio Carrera Pinto entre José Santos Ossa,Ignacio Carrera Pinto,Ignacio Carrera Pinto,José Santos Ossa,Sábado y Domingo,08:00 a 16:00 Hrs,,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Las Pulgas,María Elena,Antofagasta,-22.3450482925,-69.6633060094,Ignacio Carrera Pinto entre Ignacio Carrera Pinto entre José Santos Ossa,Ignacio Carrera Pinto,Ignacio Carrera Pinto,José Santos Ossa,Sábado y Domingo,08:00 a 16:00 Hrs,,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Manuel Rodríguez,María Elena,Antofagasta,-22.345088146,-69.6632436944,Ignacio Carrera Pinto entre Ignacio Carrera Pinto entre José Santos Ossa,Ignacio Carrera Pinto,Ignacio Carrera Pinto,José Santos Ossa,Sábado y Domingo,08:00 a 16:00 Hrs,,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Manuel Rodríguez,María Elena,Antofagasta,-22.345088146,-69.6632436944,Ignacio Carrera Pinto entre Ignacio Carrera Pinto entre José Santos Ossa,Ignacio Carrera Pinto,Ignacio Carrera Pinto,José Santos Ossa,Sábado y Domingo,08:00 a 16:00 Hrs,,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria Internacional Bolivia - Chile,Ollagüe,Antofagasta,-21.2133826241,-68.2295345043,"Frontera Chile - Bolivia, Ollague entre Sin Nombre entre Sin Nombre","Frontera Chile - Bolivia, Ollague",Sin Nombre,Sin Nombre,Último Domingo de cada mes,09:00 a 17:30 Hrs,35.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Feria de las Pulgas,Ollagüe,Antofagasta,-21.2255399185,-68.2558510569,"Avenida O'Higgins, Plaza de Armas, Ollague. entre Avenida O'Higgins, Plaza de Armas, Ollague. entre Avenida O'Higgins, Plaza de Armas, Ollague.","Avenida O'Higgins, Plaza de Armas, Ollague.","Avenida O'Higgins, Plaza de Armas, Ollague.","Avenida O'Higgins, Plaza de Armas, Ollague.",Primer Miércoles de cada mes,09:00 a 17:30 Hrs,15.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Apoyo a la Comunidad,San Pedro De Atacama,Antofagasta,-22.9094301093,-68.1986625951,Guatín - Linzor entre Guatín - Linzor entre Las Parinas,Guatín - Linzor,Guatín - Linzor,Las Parinas,De Martes a Domingo,10:00 a 20:00 Hrs,35.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
Apoyo a la Comunidad,San Pedro De Atacama,Antofagasta,-22.9094301093,-68.1986625951,Guatín - Linzor entre Guatín - Linzor entre Las Parinas,Guatín - Linzor,Guatín - Linzor,Las Parinas,De Martes a Domingo,10:00 a 20:00 Hrs,35.0,odepa_dspace,Ferias_Pais_PowerBI.xlsx,
